0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.99999667,0.00545702,0.01251466,2.7e-07,0.00395357,0.00479133,0.0,1.3300000000000001e-05,0.00035238,0.00289193,0.0130137,0.00763819,0.0,2.29e-06,9.48e-06,0.00043924,6e-08,1.8e-07,0.99984229,0.00102566,8e-08,1.8e-07,0.02774766,2.4e-05,9.9e-07,0.00052184,8e-08,0.0,0.01175126,0.01251466,4.07e-06,1.09e-05,0.0,0.00289193,0.0106456,0.00616918,3.81e-05,0.0,0.0,0.0,0.01383764,0.01117916,0.00869565,0.00816226,1.3300000000000001e-05,0.00763819,2.8999999999999997e-05,0.00108288,1.11e-05,0.0,0.0,0.00978565,0.99531548,0.99531548,0.0,0.45454545,0.87640126,4e-08,0.8764013,0.87640121
1.25e-06,1.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00993377,6.2e-07,0.0,6e-08,1.26e-06,6.3e-07,0.0,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.01e-05,0.0,0.00993377,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26733806,0.0,0.0,0.45454545,0.0,0.0,0.0,0.0
0.92342322,0.00012313,0.00020185,2.27e-06,2.17e-05,0.00315219,0.0013587,0.00479452,0.00340328,0.00190259,0.00068493,0.00260349,0.00257768,3e-08,1.9e-07,0.02147871,2.9e-07,1.48e-06,0.92006661,0.04182853,3e-07,0.00071199,0.02523398,0.00141988,2.36e-05,0.00254248,0.00019287,0.0,9.23e-05,8.070000000000001e-05,1e-07,1.9e-07,0.0013587,0.00190259,0.0067348999999999985,0.00381436,1.4599999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00527887,0.00479452,0.00260349,3.8e-07,4.01e-05,1.46e-06,0.0,0.00361757,0.0027959,0.0,0.0,0.00022059,0.18181818,0.88675534,4e-08,0.88675537,0.88675529
0.00088684,0.0,9.61e-06,2.2e-07,2.0300000000000002e-05,0.00390871,0.02105978,0.01061644,0.0,0.01933029,0.0869863,0.05105528,0.0,1.49e-05,9.39e-06,0.0008869999999999999,0.0,0.00088701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01e-06,3.84e-06,4.7e-06,9.4e-06,0.02105978,0.01933029,0.05157259,0.04223727,0.00178399,0.0,0.0,0.0,0.0,0.0,0.00869565,0.05928705,0.01061644,0.05105528,0.0,0.0,0.0,0.0,0.00775194,0.05917987,0.0,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0
0.07510691,2.8000000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-07,0.01502401,1.7e-07,8e-08,0.07510692,0.01502401,1.7e-07,8e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.420000000000001e-05,0.0,3.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.98023957,0.0,0.0,0.63636364,0.96582384,0.0,0.96582384,0.96582383
4e-08,5.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666,4e-08,0.0,5e-08,5e-08,5e-08,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.01e-05,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45454545,0.0,0.0,0.0,0.0
0.75034569,1.6800000000000002e-05,0.0,1.52e-06,0.0,0.00680873,0.03668478,0.01849315,0.0,0.0,0.0,0.0,0.0,1e-08,1e-08,0.25015903,8.4e-07,0.25014625,0.7503456999999999,0.25015904,8.4e-07,0.25014625,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,2e-08,0.0,0.03668478,0.00410959,0.02643911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02532833,0.01849315,0.0,0.0,0.0,0.0,1.0,0.02790698,0.0,0.0,0.0,3.01e-05,0.18181818,0.66181876,0.81055913,0.99272814,2e-08
3.51e-06,1.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00355449,1.75e-06,0.0,1.7e-07,3.52e-06,1.76e-06,0.0,1.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.01e-05,0.0,0.0035545000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.97315938,0.0,0.0,0.45454545,0.0,0.0,0.0,0.0
3.36e-06,1.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00371286,1.68e-06,0.0,8e-08,3.37e-06,1.68e-06,0.0,8e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.01e-05,0.0,0.00371287,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96861219,0.0,0.0,0.45454545,0.0,0.0,0.0,0.0
2.64e-05,5.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031505,2.65e-05,0.0,2.65e-05,2.65e-05,2.65e-05,0.0,2.65e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.01e-05,0.0,0.00031506,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.81e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24950027,0.0,0.0,0.45454545,0.0,0.0,0.0,0.0
